numconnections,seniority,currentindustry,mapped_role,total_experience_years,highest_degree,company_cleaned,campus_cleaned,cluster_id
500,3.0,Research Services,scientist,17.5,Doctor,integra lifesciences,rutgers business school,3
500,3.0,Mental Health Care,clinical,84.67,Doctor,self employed,columbia university in the city of new york,3
500,5.0,Law Practice,law,17.25,Doctor,new york university,fordham university school of law,3
298,7.0,Hospital & Health Care,researcher,105.92,Doctor,signpath pharma,new york university graduate school of arts and science,3
500,3.0,Capital Markets,law,13.59,Doctor,citadel securities,loyola university chicago school of law,3
448,3.0,Research,research scientist,10.92,Doctor,bytedance,boston college,3
410,3.0,Law Practice,law,3.75,Doctor,rosenberg family law pc,cardozo school of law,3
500,6.0,Legal Services,attorney,7.0,Doctor,mcdermott will emery,elisabeth haub school of law at pace university,3
500,7.0,Higher Education,directors,20.35,Doctor,logos ri,sapienza università di roma,3
500,2.0,Research,teaching,15.91,Doctor,northwell health,touro college of osteopathic medicine,3
500,4.0,Higher Education,teacher,64.0,Doctor,teachers college columbia university,rand school of public policy,3
500,2.0,Performing Arts,actor,45.66,Doctor,theater,royal college of dramatic art,3
500,5.0,Medical Practice,physical therapist,13.58,Doctor,the pelvic connection physical therapy,utica university,3
500,3.0,Law Practice,law,3.24,Doctor,rivkin radler llp,maurice a deane school of law at hofstra university,3
500,4.0,Real Estate,directors,33.16,Doctor,university of michigan stephen m ross school of business,syracuse university college of law,3
457,2.0,Research,researcher,7.5,Doctor,new york genome center,columbia university in the city of new york,3
500,5.0,Retail,actor,41.07,Doctor,starbucks,american university,3
500,3.0,Law Practice,law,8.08,Doctor,quinn emanuel,columbia law school,3
500,5.0,Professional Training & Coaching,actor,4.08,Bachelor,kairacenter,international open university,3
456,5.0,Law Practice,professor,13.66,Doctor,indiana university kelley school of business,state university of new york at buffalo law school,3
500,1.0,Law Practice,law,26.16,Doctor,goodwin,york university osgoode hall law school,3
500,5.0,Graphic Design,creative,52.91,Bachelor,freelance,milwaukee institute of art design,3
500,3.0,Higher Education,law,12.99,Doctor,perry law,harvard law school,3
500,5.0,Information Technology & Services,development engineer,26.41,Doctor,canonical,university at albany,3
500,4.0,Market Research,professor,22.84,Doctor,fors marsh,university of iowa,3
500,4.0,Commercial Real Estate,resident,9.33,Doctor,new york city economic development corporation,westminster theological seminary,3
449,2.0,Research Services,professor,10.5,Doctor,nyu school of medicine,cornell university,3
397,5.0,Higher Education,researcher,17.75,Doctor,the shalom hartman institute of north america,university of chicago,3
500,2.0,Music,actor,107.82,Master,chrono international,manhattan school of music,3
433,2.0,Computer Software,software engineer,14.08,Doctor,google,weizmann institute of science,3
494,2.0,Higher Education,writer,8.91,Doctor,princeton university,princeton university,3
500,4.0,Writing & Editing,content creator,52.41,Master,ai educator brain,teachers college columbia university,3
500,3.0,Higher Education,research scientist,11.09,Doctor,columbia university in the city of new york,oregon state university,3
500,6.0,Accounting,cfo,58.4,Bachelor,hexagon consulting group llc,nyu stern school of business,3
500,6.0,IT Services and IT Consulting,solutions architect,63.49,Bachelor,komodo health,university of brighton,3
500,2.0,International Affairs,law,14.74,Doctor,morgan lewis bockius llp,albany law school,3
500,4.0,Hospitals and Health Care,technology consultant,57.25,Master,self employed,the city university of new york richmond college,3
395,1.0,Writing & Editing,teaching,6.08,Doctor,yale university,university of oxford,3
375,3.0,Primary/Secondary Education,writer,0.75,High School,fide world chess federation,harvard university,3
420,1.0,Higher Education,professor,11.66,Doctor,adelphi university,icahn school of medicine at mount sinai,3
500,4.0,Legal Services,law,15.0,Doctor,pepsico,vermont law and graduate school,3
500,5.0,Computer Networking Products,machine engineer,12.41,Doctor,amazon,columbia university,3
500,1.0,Financial Services,quantitative analyst,17.58,Doctor,millennium,princeton university,3
402,3.0,Law Practice,attorney,10.41,Doctor,u s attorney s office for the southern district of new york,yale law school,3
500,2.0,Higher Education,scientist,14.92,Doctor,neochromosome inc,mcgill university,3
500,6.0,Marketing & Advertising,creative,19.92,Doctor,sap,university of pennsylvania,3
500,2.0,Computer Games,artist,64.5,Master,parsons school of design the new school,university of architecture civil engineering and geodesy,3
500,2.0,Hospital & Health Care,physician,17.92,Doctor,icahn school of medicine at mount sinai,icahn school of medicine at mount sinai,3
500,5.0,Law Practice,counsel,15.17,Doctor,pillsbury winthrop shaw pittman llp,vermont law and graduate school,3
500,3.0,Performing Arts,teacher,27.55,Doctor,craigardan,columbia university vagelos college of physicians and surgeons,3
304,3.0,Law Practice,law,6.15,Doctor,reed smith llp,st john s university school of law,3
500,5.0,Higher Education,social,14.15,Doctor,united nations,rutgers university,3
414,3.0,Research,research scientist,11.33,Doctor,the metropolitan museum of art,università di pavia,3
500,5.0,Pharmaceutical Manufacturing,medical,21.08,Doctor,abbvie,edinburgh napier university,3
500,6.0,Law Practice,lawyer,7.58,Doctor,mcdermott will schulte,new york university school of law,3
500,1.0,Hospital & Health Care,substitute teacher,7.75,Doctor,robert wood johnson university hospital,rutgers university,3
500,4.0,Business Consulting and Services,professor,12.59,Doctor,vesterager consulting,institute for psychoanalytic psychotherapy,3
393,5.0,Pharmaceuticals,scientific,8.16,Doctor,bristol myers squibb,vanderbilt university,3
500,6.0,Computer Software,strategist,56.75,Master,fortune,new york university,3
500,1.0,Software Development,machine engineer,11.49,Doctor,capital one,columbia university,3
500,2.0,Research,teaching,11.5,Doctor,columbia engineering,columbia university in the city of new york,3
500,4.0,Medical Device,scientist,13.58,Doctor,quidelortho,icahn school of medicine at mount sinai,3
500,6.0,Hospitals and Health Care,clinical,2.17,Doctor,philips,paracelsus medizinische privatuniversität,3
415,2.0,Financial Services,law,7.67,Doctor,sidley austin llp,fordham university school of law,3
390,6.0,Accounting,cfo,52.58,MBA,prager metis cpas,pace university,3
500,4.0,Law Practice,attorney,20.66,Doctor,fried frank,georgetown university law center,3
500,1.0,Law Practice,law,4.92,Doctor,cherre,columbia law school,3
500,4.0,Higher Education,professor,7.26,Doctor,long island university,st john s university,3
483,5.0,Education Management,teacher,49.67,Master,middle way school,university of pennsylvania,3
500,5.0,Higher Education,professor,20.83,Doctor,utrecht university,yale law school,3
500,2.0,Law Practice,lawyer,20.75,Doctor,career break,new york university,3
500,1.0,Non-profit Organizations,social,9.59,Doctor,suffolk county bar association,dowling college,3
500,6.0,Medical Practices,medical,31.67,Doctor,roy g geronemus md,university of miami leonard m miller school of medicine,3
500,5.0,Biotechnology,research scientist,12.33,Doctor,azenta life sciences,dartmouth college,3
500,5.0,Pharmaceutical Manufacturing,medical affairs,19.67,Doctor,syndax pharmaceuticals,temple university lewis katz school of medicine,3
500,3.0,Law Practice,law,10.74,Doctor,kim serritella llp,university of pennsylvania carey law school,3
500,5.0,Legal Services,counsel,30.25,Doctor,unified law group pb llc,university of connecticut school of law,3
500,2.0,Research Services,developer,20.25,Doctor,hudson river trading,university of california davis,3
407,2.0,Pharmaceuticals,statistician,9.0,Doctor,boehringer ingelheim,university of michigan rackham graduate school,3
500,7.0,Pharmaceuticals,medical,26.92,Doctor,vivace therapeutics inc,roswell park cancer institute,3
403,4.0,"Health, Wellness & Fitness",rn,15.91,Doctor,hospital for special surgery,columbia university in the city of new york,3
347,3.0,Law Practice,law,12.41,Doctor,law office of linda j hockstein,new york law school,3
500,4.0,Pharmaceuticals,research scientist,14.92,Doctor,wuxi biologics,peking university,3
500,3.0,Electrical & Electronic Manufacturing,research scientist,11.09,Doctor,columbia university,korea advanced institute of science and technology,3
500,3.0,International Affairs,law,18.09,Doctor,akin gump strauss hauer feld llp,university of ottawa,3
453,2.0,International Affairs,law,10.15,Doctor,perkins coie llp,american university washington college of law,3
470,7.0,Law Practice,attorney,30.83,Doctor,nomosfit,university of virginia school of law,3
500,2.0,Higher Education,teaching,14.58,Doctor,columbia university school of general studies,columbia university in the city of new york,3
500,2.0,Law Practice,law,12.5,Doctor,chiesa shahinian giantomasi pc,fordham university school of law,3
437,4.0,Pharmaceuticals,medical science liaison,9.75,Doctor,bayer,temple university lewis katz school of medicine,3
500,2.0,Research,teaching,9.83,Doctor,new york university,university of california davis,3
500,3.0,Hospital & Health Care,physician,13.66,Doctor,catholic health,northwell health staten island university hospital,3
500,6.0,Executive Offices,financial officer,44.25,Doctor,marex,new york university leonard n stern school of business,3
500,2.0,Law Practice,research scientist,14.33,Doctor,servilla whitney llc,seton hall university school of law,3
500,3.0,Research,user researcher,15.5,Doctor,klarna,rutgers university school of communication and information,3
500,4.0,Legal Services,counsel,19.0,Doctor,the bazooka companies llc,university of colorado anschutz medical campus,3
500,4.0,IT Services and IT Consulting,public affairs,16.58,Doctor,new york state bar association,university of illinois college of law,3
414,2.0,Non-profit Organization Management,law,8.92,Doctor,j h rosenblum pllc,new york university,3
500,2.0,Music,editor,58.11,Bachelor,real life cinema,long island university global,3
500,5.0,Medical Practice,physician,8.84,Doctor,icahn school of medicine at mount sinai,university of florida college of medicine,3
500,6.0,Hospital & Health Care,clinical,33.49,Doctor,upstate medical university,state university of new york upstate medical university,3
500,6.0,Information Technology & Services,software architect,32.5,Doctor,aidaa,rutgers university,3
500,7.0,Financial Services,information security officer,27.24,Doctor,prudential financial,university of pittsburgh school of law,3
383,2.0,Research Services,editor,11.09,Doctor,nature research publishing,the university of freiburg,3
500,3.0,Public Policy Offices,research,8.0,Doctor,rand,the data incubator,3
500,4.0,Higher Education,research scientist,49.82,Doctor,the cooper union for the advancement of science and art,yale university,3
500,7.0,Executive Offices,coo,68.99,Bachelor,khubani enterprises,montclair state university,3
390,3.0,Research,research scientist,8.33,Doctor,fauna robotics,university of tsukuba,3
500,4.0,Book and Periodical Publishing,editor,45.08,empty,us weekly,universidad de san andrés,3
500,4.0,Public Relations and Communications Services,teaching,20.99,Doctor,fairleigh dickinson university,university of arizona,3
500,7.0,Software Development,research engineer,19.92,Doctor,mitek systems,saint petersburg state electrotechnical university leti,3
500,6.0,Law Practice,attorney,13.34,Doctor,crowell moring llp,columbia law school,3
500,6.0,Higher Education,social,39.67,Doctor,thenet training for health equity network,new york medicine jobs,3
500,1.0,Hospital & Health Care,research,9.83,Doctor,genentech,the city university of new york,3
500,6.0,Law Practice,directors,31.26,Doctor,bailey duquette p c,university of maryland francis king carey school of law,3
500,2.0,Primary/Secondary Education,teacher,42.16,Master,atypical ai,the city college of new york,3
500,5.0,"Museums, Historical Sites, and Zoos",strategic,18.0,Doctor,leap beijing,new york university,3
500,2.0,Research,professor,16.99,Doctor,adams state university,university of missouri columbia,3
500,5.0,Non-profit Organization Management,researcher,45.16,Doctor,upstate ny energy storage engine,the state university of new york,3
455,2.0,Hospital & Health Care,research,9.16,Doctor,hospital for special surgery,albert einstein college of medicine,3
500,5.0,Higher Education,writer,69.08,Doctor,hunter college,ucla,3
500,5.0,Law Practice,attorney,9.0,Doctor,jackson lewis p c,new york university school of law,3
464,2.0,Research Services,research technician,15.0,Doctor,freelance,university of münster,3
500,6.0,Hospitals and Health Care,attorney,23.42,Doctor,mcdermott will schulte,boston university school of law,3
500,2.0,Semiconductors,research scientist,11.5,Doctor,intel corporation,columbia university in the city of new york,3
500,4.0,Higher Education,professor,5.17,Doctor,baruch college,baruch college,3
500,1.0,Law Practice,community,22.74,Doctor,poshmark,elisabeth haub school of law at pace university,3
500,1.0,Law Practice,law,10.67,Doctor,new york state executive chamber,harvard kennedy school of government,3
500,6.0,Investment Banking,equity,30.75,Doctor,ascento capital invest,new york university school of law,3
500,4.0,Hospital & Health Care,physician,16.25,Doctor,northwell health,suny downstate medical center,3
500,4.0,Law Practice,attorney,19.92,Doctor,cozen o connor,temple university james e beasley school of law,3
500,4.0,Law Practice,law,6.66,Doctor,con edison,temple university james e beasley school of law,3
458,2.0,Biotechnology Research,equity research,13.33,Doctor,stifel financial corp,weill cornell graduate school of medical sciences,3
500,3.0,Research Services,research scientist,9.66,Doctor,columbia university in the city of new york,utah state university,3
500,2.0,Hospital & Health Care,physician,2.83,Doctor,new york presbyterian hospital weill cornell medical center,geisel school of medicine at dartmouth,3
500,2.0,Research Services,teacher,8.99,Doctor,princeton university,columbia university in the city of new york,3
500,5.0,Motion Pictures & Film,writer,51.62,Master,purchase college suny,city university of new york city college,3
500,1.0,Law Practice,law,5.91,Doctor,staff attorney s office united states court of appeals for the second circuit,cardozo school of law,3
500,5.0,Law Practice,attorney,21.83,Doctor,meister seelig fein pllc,maurice a deane school of law at hofstra university,3
500,2.0,Law Practice,equity,1.66,Doctor,davis polk wardwell llp,new york university school of law,3
500,2.0,Law Practice,food service worker,1.75,Doctor,davis polk wardwell llp,william mary law school,3
500,5.0,Law Practice,attorney,12.08,Doctor,morvillo abramowitz grand iason anello pc,columbia law school,3
500,5.0,Education Administration Programs,strategist,19.67,Doctor,columbia business school,insead,3
500,5.0,Philanthropy,professor,15.42,Doctor,foundation for opioid response efforts,rutgers university,3
500,6.0,Online Audio and Video Media,directors,45.24,Doctor,golden peak media creative enthusiast network,harvard law school,3
392,4.0,Accounting,tax accountant,51.17,Bachelor,rotenberg meril certified public accountants,the university of connecticut,3
500,4.0,Financial Services,development consultant,29.33,Doctor,federal reserve bank of new york,grenoble ecole de management,3
500,1.0,Research,teaching,20.67,Doctor,net impact nyc,drexel university college of medicine,3
399,3.0,Biotechnology Research,teaching,15.32,Doctor,columbia university irving medical center,joan sanford i weill medical college of cornell university,3
500,3.0,Law Practice,law,5.91,Doctor,simpson thacher bartlett llp,duke university school of law,3
500,1.0,Mental Health Care,teaching,13.66,Doctor,vibrant journey counseling pllc,midwestern state university,3
500,5.0,Biotechnology,medical science liaison,19.25,Doctor,bristol myers squibb,university of illinois chicago,3
457,2.0,Law Practice,law,8.83,Doctor,willkie farr gallagher llp,cornell law school,3
500,4.0,Pharmaceuticals,scientist,8.5,Doctor,merck,university of wisconsin madison,3
500,2.0,Medical Device,technical sales representative,15.16,Doctor,nikon instruments,northwestern university pritzker school of law,3
500,5.0,Pharmaceutical Manufacturing,research scientist,13.66,Doctor,weill cornell medicine,university of iowa,3
500,5.0,Education Administration Programs,professor,27.92,Doctor,state university of new york college at old westbury,city university of new york graduate center,3
500,2.0,Capital Markets,quantitative analyst,5.08,Doctor,citadel securities,columbia university,3
500,1.0,Primary and Secondary Education,teaching,10.0,Doctor,trevor day school,the university of chicago,3
500,1.0,Information Technology & Services,business development,50.83,Master,lunch break,university of denver,3
500,2.0,Non-profit Organizations,writer,50.67,Master,the aspen institute,michigan state university,3
500,5.0,Consumer Goods,analytics,24.0,Doctor,whirlpool corporation,virginia commonwealth university,3
500,2.0,Law Practice,attorney,18.74,Doctor,tor ekeland law pllc,maurice a deane school of law at hofstra university,3
500,5.0,Biotechnology,scientist,14.92,Doctor,regeneron,university of alabama at birmingham,3
500,5.0,Higher Education,professor,9.75,Doctor,hunter college,boston college,3
400,4.0,Mental Health Care,teacher,18.25,Doctor,bushwick therapy,fordham university,3
500,5.0,Biotechnology,research,17.41,Doctor,rutgers university,northwestern university,3
422,5.0,Hospital & Health Care,physician,22.09,Doctor,nyu grossman school of medicine,new york university,3
500,3.0,Education Administration Programs,teacher,47.93,Doctor,university of miami,lesley university,3
500,2.0,Higher Education,teaching,11.9,Doctor,universidade federal de rondônia,new york university,3
500,4.0,Pharmaceutical Manufacturing,strategy consultant,10.26,Doctor,sanofi,tufts university school of medicine,3
500,3.0,Hospital & Health Care,research scientist,18.0,Doctor,memorial sloan kettering cancer center,indian institute of technology guwahati,3
500,5.0,Research Services,software engineering,41.08,Doctor,the walt disney company,columbia business school,3
500,2.0,Semiconductors,research,3.49,Doctor,new york university,new york university,3
373,3.0,Law Practice,law,5.0,Doctor,law offices of michael s weinstock llc,st john s university school of law,3
500,7.0,Professional Training and Coaching,directors,1.0,Doctor,access consultation and psychology pc,university of denver,3
500,5.0,Legal Services,investigator,15.75,Doctor,cravath swaine moore llp,harvard law school,3
500,2.0,Capital Markets,research,5.67,Doctor,citadel securities,carnegie mellon university school of computer science,3
500,5.0,Design Services,professor,34.83,Doctor,farmingdale state college,edinburgh napier university,3
500,5.0,Law Practice,professor,2.0,Doctor,new york university school of law,new york university school of law,3
500,5.0,Public Policy,social,23.83,Doctor,community sponsorship hub,american university,3
500,2.0,Book and Periodical Publishing,writer,73.23,Master,u s naval institute,cornell university,3
500,4.0,Law Practice,law,19.0,Doctor,new jersey state office of governor jon corzine,columbia law school,3
500,6.0,Financial Services,quantitative analyst,12.0,Doctor,the options group,university of illinois urbana champaign,3
500,5.0,Insurance,lawyer,19.01,Doctor,balance partners,northeastern university school of law,3
500,2.0,Research Services,law,3.67,Doctor,u s district court district of massachusetts,harvard law school,3
500,3.0,Computer Hardware,attorney,11.16,Doctor,fct administration,the university of texas at austin,3
500,5.0,Higher Education,professor,25.26,Doctor,columbia engineering,the united states army war college,3
439,6.0,Law Practice,strategic,15.42,Doctor,hanschke associates,new york law school,3
500,7.0,Internet,marketing consultant,58.34,Bachelor,consortium brand partners,yale university,3
500,2.0,Transportation/Trucking/Railroad,communication,38.67,High School,local district,brookdale community college,3
500,3.0,Research Services,teaching,25.07,Doctor,american council of trustees and alumni,university of cambridge,3
500,2.0,Semiconductor Manufacturing,materials engineer,24.08,Doctor,mckinsey company,michigan state university,3
500,5.0,Non-profit Organization Management,teacher,58.4,Bachelor,pace university,pace university,3
500,4.0,Financial Services,research analyst,34.57,Doctor,free university of tbilisi,cornell university,3
500,5.0,Civil Engineering,civil engineer,11.0,Doctor,aecom consult,harvard university,3
313,3.0,Law Practice,law,9.83,Doctor,jones day,tulane university law school,3
500,5.0,Higher Education,education,21.91,Doctor,yale university school of medicine,teachers college columbia university,3
500,4.0,Civil Engineering,engagement,14.74,Doctor,capgemini invent,university of cambridge,3
500,2.0,Software Development,system software engineer,43.75,Doctor,meta,rice university,3
500,6.0,Law Practice,attorney,10.08,Doctor,the bazelon center for mental health law,fordham university school of law,3
159,3.0,Research,writer,104.08,empty,inaturalist org,university of cambridge,3
500,6.0,Law Practice,counsel,6.34,Doctor,paul weiss rifkind wharton garrison,university of california los angeles school of law,3
500,6.0,Computer Software,software engineering,16.74,Doctor,pendo io,university of haifa,3
500,2.0,Financial Services,research,17.0,Doctor,castleton commodities international,mcgill university,3
500,6.0,Biotechnology,research scientist,24.25,Doctor,gameto,harvard university,3
475,3.0,Chemical Manufacturing,research scientist,11.08,Doctor,columbia university,columbia university,3
500,4.0,Higher Education,professor,16.33,Doctor,john jay college cuny,bar ilan university,3
500,6.0,Capital Markets,unemployed,8.67,Doctor,two sigma,the graduate center city university of new york,3
500,2.0,Mental Health Care,social worker,18.0,Doctor,center for family guidance,the new school for social research,3
352,4.0,Pharmaceuticals,research chemist,77.72,Doctor,yabao pharmaceutical group co ltd,university of utah,3
500,5.0,Biotechnology,research scientist,11.0,Doctor,gsk,cornell law school,3
500,5.0,Law Practice,lawyer,32.67,Doctor,aig,syracuse university college of law,3
500,3.0,Cosmetics,research scientist,13.08,Doctor,l oréal,carnegie mellon university,3
500,7.0,Entertainment Providers,producer,70.65,Master,sundance institute,universidade católica portuguesa,3
500,6.0,Financial Services,capital markets,9.17,Doctor,royal bank of canada,princeton university,3
500,4.0,Research Services,research,15.83,Doctor,columbia university mailman school of public health,medical university of south carolina,3
500,5.0,Spectator Sports,attorney,11.92,Doctor,national basketball association nba,columbia business school,3
500,5.0,Law Practice,attorney,14.91,Doctor,kroll,the george washington university law school,3
500,5.0,Law Practice,law,40.76,Doctor,columbia university graduate school of architecture planning preservation,new york university,3
500,5.0,Research Services,researcher,20.91,Doctor,world economic forum,columbia sipa,3
500,5.0,Computer Software,research scientist,25.74,Doctor,google,moravian university,3
500,1.0,Computer Software,research,8.99,Doctor,new york university,new york university,3
500,3.0,Biotechnology,research scientist,3.41,Doctor,genentech,university of oxford,3
500,5.0,Management Consulting,scientific,9.25,Doctor,l e k consulting,university of toronto,3
500,3.0,Higher Education,law,25.07,Doctor,asian american bar association of new york,binghamton university,3
344,6.0,Legal Services,counsel,17.42,Doctor,milbank llp,university of iowa college of law,3
402,4.0,Medical Practice,emergency medical technician,32.83,Doctor,louisiana irt mission,air university officer training school maxwell afb alabama,3
500,2.0,Research,research,14.0,Doctor,the d e shaw group,harvard university,3
405,1.0,Hospital & Health Care,teaching,4.75,Doctor,harvard university,yale school of medicine,3
417,4.0,Research Services,research,10.99,Doctor,new york medical college,cornell university,3
500,2.0,Photography,creative,44.77,High School,limelife by alcone,fundación universidad de bogotá jorgetadeo lozano,3
500,3.0,Higher Education,law,9.98,Doctor,cleary gottlieb steen hamilton llp,harvard law school,3
466,2.0,Biotechnology Research,professor,12.33,Doctor,advanced science research center gc cuny,duke university,3
418,2.0,Apparel & Fashion,professor,14.09,Doctor,north carolina state university,iowa state university,3
447,1.0,Medical Practice,medical,5.99,Doctor,connecticut skin institute omar a ibrahimi md phd,new york medical college,3
438,2.0,Law Practice,attorney,4.33,Doctor,dorsey whitney llp,william mary law school,3
500,5.0,Medical Practices,research technician,31.83,Doctor,labcorp,columbia university in the city of new york,3
500,6.0,Philanthropic Fundraising Services,social,48.58,Doctor,democracy funders network,amherst college,3
500,2.0,Civil Engineering,engineer,8.42,Doctor,wsp usa,university of the cumberlands,3
500,3.0,Biotechnology,research scientist,20.5,Doctor,azenta life sciences,university of pennsylvania,3
500,3.0,Law Practice,attorney,15.16,Doctor,blank rome llp,cooley law school,3
500,2.0,Hospital & Health Care,researcher,15.07,Doctor,weill cornell graduate school of medical sciences,joan sanford i weill medical college of cornell university,3
500,5.0,Law Practice,attorney,14.84,Doctor,polsinelli,boston university school of law,3
500,2.0,Research Services,scientific,16.58,Doctor,haug partners llp,university of colorado at boulder,3
500,5.0,Law Practice,attorney,31.25,empty,davis polk wardwell llp,harvard law school,3
500,6.0,Law Practice,capital markets,19.83,Doctor,lowenstein sandler llp,harvard law school,3
500,1.0,Government Administration,research analyst,16.0,Doctor,congressional budget office,new york university school of law,3
500,5.0,Biotechnology,research scientist,15.91,Doctor,apertura gene therapy,university of california berkeley,3
500,5.0,Design,interior designer,16.08,High School,zebra,northumbria university,3
500,7.0,Venture Capital and Private Equity Principals,treasurer,81.09,Bachelor,muev brands,cornell university,3
500,5.0,Spectator Sports,admissions,15.67,Doctor,gatnation llc,st john s university school of law,3
500,5.0,Law Practice,lawyer,17.67,Doctor,world gold council,new york law school,3
500,2.0,Hospitals and Health Care,physician,17.92,Doctor,memorial sloan kettering cancer center,vanderbilt university,3
500,6.0,Pharmaceutical Manufacturing,research scientist,19.17,Doctor,arvinas,university of massachusetts amherst,3
500,3.0,Architecture & Planning,architect,6.0,Doctor,private practice,cuny school of professional studies,3
