numconnections,seniority,currentindustry,mapped_role,total_experience_years,highest_degree,company_cleaned,campus_cleaned,cluster_id
500,5.0,Online Audio and Video Media,contributor,31.09,empty,axis partners,liceo scientifico di scandicci,0
500,6.0,Higher Education,teaching,16.83,MBA,kantar,thunderbird school of global management,0
500,3.0,Design Services,architect,9.17,Master,the fulbright program,harvard university graduate school of design,0
500,2.0,Mechanical Or Industrial Engineering,mechanical design engineer,14.93,Master,nyu agile robotics and perception lab,new york university,0
385,6.0,Program Development,teacher,21.51,Master,brookdale community college,seton hall university,0
500,2.0,Hospital & Health Care,clinical,10.59,Master,hackensack meridian health,university of south alabama,0
500,6.0,Non-profit Organization Management,social,18.17,Master,csh the source for housing solutions,university of pennsylvania,0
500,5.0,Performing Arts,digital,8.08,MBA,lincoln center for the performing arts,yale school of management,0
500,5.0,Financial Services,investment,17.92,empty,bank of america,queen mary university of london,0
500,7.0,Non-profit Organizations,strategic,30.92,Master,board dev,stanford university graduate school of business,0
500,5.0,Management Consulting,strategy consultant,13.59,MBA,national grid,duke university the fuqua school of business,0
500,3.0,Research,teaching,7.5,Master,american pakistan foundation,new york medical college,0
431,5.0,Advertising Services,copywriter,15.25,Master,gale partners,nina mua makeup academy,0
350,2.0,Apparel & Fashion,key holder,2.75,Master,nordstrom,fashion institute of technology,0
500,3.0,Media Production,writer,9.67,Master,muslim network tv,rutgers university,0
500,5.0,Food & Beverages,marketing,17.0,MBA,diageo,minimba,0
500,3.0,Management Consulting,financial analyst,10.92,empty,uber,university of michigan,0
500,3.0,Aviation & Aerospace,solutions engineer,19.83,Master,gulfstream aerospace,georgia institute of technology,0
500,6.0,Financial Services,technology architect,28.91,Master,wells fargo,harvard business school executive education,0
500,4.0,"Movies, Videos and Sound",producer,12.92,Master,suvanova,victoria university of wellington,0
500,5.0,Civic & Social Organization,creative,11.66,Master,lmt,imt atlantique,0
500,6.0,Veterinary,medical science liaison,29.25,Master,zoetis,university of notre dame mendoza college of business,0
500,5.0,Accounting,audit,2.0,Master,alixpartners llp,villanova university,0
500,5.0,Advertising Services,marketing communications,26.08,empty,williams syndrome association,texas christian university,0
500,6.0,Hospital & Health Care,clinical,35.75,MBA,northwell health,university of new haven,0
500,7.0,Computer Software,business developer,7.33,Master,precoro,kyiv national economics university,0
500,5.0,Management Consulting,civil engineer,11.08,Master,deloitte,university at buffalo,0
500,6.0,IT Services and IT Consulting,innovation,47.09,Master,highercred,wellesley college,0
500,4.0,Apparel & Fashion,marketing officer,13.83,MBA,chief,nyu stern school of business,0
500,2.0,Hospital & Health Care,research,7.66,Master,columbia university irving medical center,boston university school of medicine,0
500,3.0,Advertising Services,pharmaceutical sales representative,7.01,MBA,parachute health,durham university,0
500,4.0,Non-profit Organization Management,creative,3.25,Master,healthcare businesswomen s association,animation mentor,0
500,4.0,Entertainment,creative,16.84,Master,tiktok,university of pennsylvania,0
461,2.0,Entertainment,producer,12.66,empty,warner bros discovery,flagler college,0
500,5.0,Advertising Services,marketing consultant,14.74,MBA,wall street prep,new york university leonard n stern school of business,0
481,5.0,Accounting,tax,16.17,Master,pwc,rutgers business school,0
500,5.0,Investment Management,equity,20.49,MBA,securitize,nyu stern school of business,0
416,1.0,Investment Management,quantitative analyst,3.08,Master,j p morgan asset management,columbia university in the city of new york,0
500,6.0,Internet,strategic,26.58,empty,spryker systems america inc,leibniz universität hannover,0
500,4.0,Architecture & Planning,architect,10.92,Master,wan awards,ucla architecture and urban design,0
500,6.0,Financial Services,strategic accounts,26.17,empty,guavatech inc,city university of new york college of staten island,0
440,4.0,Information Technology & Services,equity,9.49,Master,kpmg us,stony brook university,0
500,4.0,"Health, Wellness & Fitness",education,17.84,Master,chelsea piers fitness,teachers college of columbia university,0
500,4.0,Advertising Services,business analyst,8.83,MBA,zs,fairleigh dickinson university,0
500,2.0,Media Production,data engineer,7.42,Master,nbcuniversal,riphah international university,0
500,5.0,Hospitals and Health Care,physician,11.42,empty,wyckoff heights medical center,dagestan state medical academy,0
500,7.0,Hospital & Health Care,professor,9.07,empty,research girl,barnard college,0
500,5.0,Computer Software,communication,16.34,Master,kensho technologies,the london school of economics and political science lse,0
500,6.0,Financial Services,mergers acquisitions,11.75,MBA,pricewaterhousecoopers,cornell johnson graduate school of management,0
500,2.0,Financial Services,investment,9.34,Master,uswoo realty llc,new york university,0
500,3.0,Hospital & Health Care,emergency medical technician,23.67,Master,nyu winthrop hospital,nyu robert f wagner graduate school of public service,0
500,6.0,Financial Services,cfo,15.83,Master,blackrock,university of north carolina at charlotte,0
500,1.0,Newspapers,reporter,6.92,empty,argus media,borough of manhattan community college,0
500,3.0,Book and Periodical Publishing,social media,14.92,Master,advantage solutions,nyu school of professional studies,0
500,5.0,Music,artist,1.59,Master,magus entertainment,nyu steinhardt school of culture education and human development,0
500,5.0,Broadcast Media,ambassador,19.08,empty,orion worldwide,college of the holy cross,0
500,2.0,Education Administration Programs,spring,15.52,Master,the d e shaw group,university of michigan stephen m ross school of business,0
500,2.0,Commercial Real Estate,real estate agent,10.67,empty,metlife,university of maine,0
500,2.0,Hospital & Health Care,audit,8.16,MBA,nyu langone health,university of scranton,0
500,5.0,Investment Management,tax accountant,7.83,Master,blackrock,fordham university graduate school of business administration,0
447,1.0,Photography,copywriter,20.66,empty,skyword,cypress bay high school,0
500,5.0,Real Estate,investment,24.92,MBA,lizan retail advisors lra,tecnológico de monterrey,0
500,2.0,Financial Services,trader,11.42,Master,hsbc,university of california berkeley haas school of business,0
500,5.0,Financial Services,teaching,9.16,Master,kbra,columbia university in the city of new york,0
500,5.0,IT Services and IT Consulting,content,24.41,Master,meta,university of north carolina at chapel hill,0
500,5.0,Research Services,editorial,4.25,Master,interstate scholars,tsinghua university,0
437,6.0,Investment Management,credit risk,16.0,MBA,bbva,bauman moscow state technical university,0
500,4.0,International Affairs,research analyst,20.91,Master,bard graduate programs in sustainability,bowie state university,0
500,1.0,Design Services,creative,11.5,Master,the nicholas center,the ad center los angeles,0
500,6.0,Financial Services,innovation,27.34,MBA,equitable,georgia state university j mack robinson college of business,0
500,3.0,Information Technology & Services,product support,19.17,MBA,fivetwenty radio,university of phoenix,0
500,4.0,Information Technology & Services,stack engineer,6.99,MBA,freelance,anadolu university,0
500,5.0,Retail Apparel and Fashion,equity,42.58,Master,midcap financial,universidad pontificia de salamanca,0
383,1.0,Education Administration Programs,writer,2.0,Master,nyu wasserman center for career development,new york university,0
395,5.0,Medical Practices,investigator,5.0,empty,utr therapeutics inc,columbia university in the city of new york,0
500,6.0,Hospitals and Health Care,social,24.25,Master,anthem blue cross and blue shield,the george washington university,0
500,2.0,Financial Services,investment banking analyst,5.0,MBA,ubs,columbia business school,0
500,7.0,Broadcast Media Production and Distribution,producer,11.42,empty,itv america,fordham university,0
500,2.0,Financial Services,healthcare,24.58,empty,jpmorgan chase co,muhlenberg college,0
500,3.0,Writing and Editing,journalist,3.08,Master,wwd,central saint martins university of the arts london,0
500,5.0,Investment Management,capital markets,10.0,empty,partners group,dartmouth college,0
456,4.0,International Affairs,nanny,7.99,Master,columbia university,rutgers university,0
500,5.0,Pharmaceutical Manufacturing,medical,33.0,Master,health and pharma solutions llc,the wharton school,0
500,2.0,Biotechnology,research scientist,7.08,Master,icahn school of medicine at mount sinai,boston university,0
500,6.0,Human Resources Services,human resources consultant,16.0,Master,getfive,the milano graduate school of management and urban studies the new school,0
500,1.0,Broadcast Media Production and Distribution,reporter,11.0,empty,cbs news,la asuncion,0
500,2.0,Political Organizations,social media,9.66,Master,red antler,brooklyn college,0
500,6.0,Law Practice,counsel,12.91,Master,bnp paribas,columbia law school,0
373,4.0,Architecture and Planning,designer,15.66,Master,studio 1200,pace university lubin school of business,0
500,3.0,Design,designer,5.16,empty,champalimaud design,fashion institute of technology,0
500,6.0,Higher Education,strategic,19.08,MBA,allied climate partners,harvard kennedy school,0
500,5.0,Entertainment,social media,11.49,Master,the walt disney company,fairleigh dickinson university florham campus,0
500,2.0,Venture Capital & Private Equity,research analyst,7.16,empty,blackstone,princeton university,0
500,6.0,Management Consulting,reporter,11.0,empty,persefoni,washington university in st louis,0
500,3.0,Higher Education,research,5.17,Master,eunomia research consulting certified b corp,university of chicago,0
500,5.0,Public Relations & Communications,directors,11.42,Master,nyc mayor s office of community mental health,columbia university,0
500,4.0,Architecture and Planning,designer,9.08,Master,ferrer,spd scuola politecnica di design,0
500,5.0,Computer Software,client services,19.0,Master,medidata solutions,universidade federal de santa catarina,0
500,4.0,Entertainment,promotions,18.25,empty,disco nap,indiana university bloomington,0
500,1.0,Real Estate,real estate broker,28.08,MBA,keller williams realty landmark,baruch college,0
500,5.0,Oil & Energy,baker,16.74,empty,campo caribe,cornell university,0
354,2.0,Non-profit Organization Management,social,26.09,Master,mitre health innovation center,bryn mawr college,0
500,4.0,IT Services and IT Consulting,software engineering,10.84,MBA,consolidated precision products corp,faculdade unyleya,0
500,1.0,Computer Software,research,13.07,Master,cornell tech,cornell university,0
500,3.0,Information Technology & Services,architecture,9.17,Master,luke licalzi p e p c consulting engineers,universidad nacional experimental del táchira,0
500,3.0,Marketing & Advertising,social media marketing,9.25,empty,sprout social inc,st mary s university twickenham,0
500,5.0,Computer Networking Products,systems architect,13.17,empty,atlantic tomorrow s office,computertraining com,0
488,2.0,Retail Apparel and Fashion,technical designer,7.0,Master,ascena retail group inc,fashion institute of technology,0
500,5.0,Biotechnology,directors,49.01,MBA,augustine therapeutics,insead,0
500,7.0,Hospital & Health Care,lawyer,6.51,Master,ellis hospital,imperial college london,0
449,2.0,Internet,cook,11.75,Master,willamette valley vineyards,intercollege,0
315,4.0,Mental Health Care,social,7.58,Master,gina lehr mental health counseling pllc,adelphi university,0
500,6.0,Alternative Medicine,brand marketing,28.24,MBA,acreage holdings,minimba,0
500,6.0,Industrial Machinery Manufacturing,machine engineer,10.09,Master,stealth ai startup,university of pennsylvania,0
500,6.0,Financial Services,markets,19.16,MBA,mastercard,polimi graduate school of management,0
500,3.0,Information Technology & Services,ui ux designer,12.92,Master,orange logic,moscow aviation institute national research university,0
500,6.0,Information Technology & Services,marketing consultant,32.32,MBA,sabre corporation,wharton online,0
493,5.0,Education Administration Programs,communications,23.75,Master,friends academy,temple university,0
500,6.0,Broadcast Media,editor,24.93,Master,nbc news,columbia university,0
500,5.0,Computer Software,design,16.25,Master,servicenow,harvard business school online,0
432,4.0,Construction,loan officer,16.0,empty,advisors mortgage group llc,raritan valley community college,0
500,7.0,Accounting,finance,3.25,empty,del corona scardigli u s a,università ca foscari venezia,0
500,5.0,Architecture and Planning,architect,28.0,Master,nbbj design,university of cincinnati,0
500,4.0,Architecture & Planning,interior designer,17.08,Master,mciver morgan,new york school of interior design,0
500,6.0,Government Administration,writer,36.4,Master,goldman sachs,university of oxford,0
500,6.0,Financial Services,compensation,21.75,empty,citi,university of maryland,0
349,2.0,IT Services and IT Consulting,software engineer,13.49,Master,mongodb,new jersey institute of technology,0
500,6.0,Financial Services,strategist,22.49,MBA,synchrony,university of hartford,0
500,5.0,Manufacturing,social,34.74,Master,nyc health hospitals,columbia university mailman school of public health,0
500,4.0,Information Technology & Services,teacher,8.58,Master,ey,monmouth university,0
465,4.0,Pharmaceuticals,scientist,20.09,MBA,pfizer,stevens institute of technology,0
500,4.0,Business Consulting and Services,creative,12.33,Master,made in nyc,pratt institute,0
500,5.0,Graphic Design,creative,24.33,Master,opengear,east carolina university,0
500,3.0,Architecture and Planning,project coordinator,17.84,Master,ph design,auburn university,0
426,3.0,Hospital & Health Care,social,8.74,Master,mayo clinic,boston university school of public health,0
500,6.0,Wholesale Import and Export,business development analyst,12.92,MBA,american express,carnegie mellon university,0
500,3.0,Retail,merchandising,13.42,empty,revolve,university of arizona,0
500,5.0,Marketing & Advertising,creative,6.83,empty,general idea,the university of texas at austin,0
500,2.0,Accounting,financial accounting,8.92,empty,ten thousand inc,fordham university,0
500,3.0,Computer & Network Security,engineer,10.5,Master,rimo3,new york university,0
373,4.0,Non-profit Organizations,community relations,18.25,Master,new york blood center,baruch college,0
500,4.0,Public Policy Offices,public affairs,13.59,Master,new york city council,hunter college,0
500,3.0,Oil and Gas,research analyst,9.0,Master,business for good,yale university,0
500,7.0,Investment Management,counsel,16.08,empty,sfj technologies llc,tulane university law school,0
500,4.0,Computer and Network Security,technical product,9.33,Master,microsoft,john jay college cuny,0
500,2.0,Research,reporter,11.92,Master,united nations university centre for policy research unu cpr,columbia sipa,0
500,4.0,Financial Services,financial services,11.16,MBA,moody s,fitchburg state university,0
444,2.0,Renewables & Environment,project engineer,7.17,Master,jaros baum bolles,university of dayton,0
500,5.0,Financial Services,trader,12.42,Master,bnp paribas,the london school of economics and political science lse,0
500,5.0,Motor Vehicle Manufacturing,sales,24.42,empty,murgado automotive group,jeff sacks auto training,0
500,4.0,Industrial Machinery Manufacturing,mechanical engineer,12.16,Master,amogy,university of cincinnati,0
500,5.0,Business Consulting and Services,markets,14.0,MBA,amazon,the university of chicago booth school of business,0
500,6.0,Investment Management,capital markets,39.08,MBA,national center for energy analytics,new york university leonard n stern school of business,0
479,6.0,Financial Services,software architect,32.75,MBA,the depository trust clearing corporation dtcc,university of phoenix,0
500,5.0,Software Development,teacher,11.57,Master,university at buffalo,university at buffalo school of management the state university of new york,0
500,7.0,Investment Management,portfolio,29.25,MBA,bentley road group llc,nyu stern school of business,0
500,1.0,Management Consulting,student worker,17.4,Master,arcade beauty,columbia university school of professional studies,0
442,1.0,"Museums, Historical Sites, and Zoos",records,13.66,Master,at t,new york university,0
500,6.0,Information Technology & Services,security architect,23.09,Master,samsung sds,rensselaer polytechnic institute,0
500,6.0,Government Administration,professor,16.25,empty,luminary,university of california berkeley,0
427,1.0,Media Production,journalist,23.58,Master,cnn,craig newmark graduate school of journalism at cuny,0
500,4.0,Construction,construction engineer,24.0,MBA,metro real estate development corp,hofstra university zarb school of business,0
500,4.0,Hospitals and Health Care,clinical pharmacist,18.75,empty,memorial sloan kettering cancer center,university of north carolina at chapel hill,0
500,5.0,Cosmetics,market,14.08,MBA,libo cosmetics co ltd,the university of texas at arlington,0
500,7.0,Entertainment Providers,creative,21.41,empty,groupm,ucla,0
500,3.0,Advertising Services,digital account,6.74,Master,comcast,new york university,0
500,5.0,Financial Services,capital markets,29.74,Master,lexington partners,thomas jefferson university,0
500,3.0,Marketing & Advertising,brand marketing,12.66,MBA,church dwight co inc,nyu stern school of business,0
500,3.0,Advertising Services,analytics,10.16,Master,horizon media,university of virginia,0
500,4.0,Computer Software,product design,12.15,Master,walmart,duke university,0
500,5.0,Entertainment Providers,producer,29.75,empty,mccann new york,aftrs,0
376,5.0,Information Technology & Services,it,7.34,Master,national museum of the american people,umass boston,0
500,5.0,Business Consulting and Services,data analytics,16.75,Master,novartis,the london school of economics and political science lse,0
500,2.0,Civic & Social Organization,public relations,4.42,empty,instituto tecnológico de aguascalientes,the university of toledo,0
500,2.0,Software Development,software engineer,2.08,Master,google,columbia engineering,0
500,6.0,Public Relations and Communications Services,media relations,8.42,empty,teneo,the university of texas at austin,0
500,5.0,Investment Banking,research analyst,8.5,MBA,canaccord genuity global capital markets,university of miami herbert business school,0
500,4.0,Architecture and Planning,architect,36.49,Master,studio link arc llc,new jersey institute of technology,0
500,7.0,Financial Services,administrative coordinator,27.16,Master,geller advisors llc,ipec coaching,0
500,6.0,Business Consulting and Services,financial officer,23.33,empty,fti consulting,katherine gibbs school,0
500,5.0,Hospital & Health Care,teaching,10.41,Master,icahn school of medicine at mount sinai,new york university,0
500,5.0,Medical Practice,physician,14.08,empty,hackensack meridian health,bharati vidyapeeth medical college pune,0
472,3.0,IT Services and IT Consulting,business consultant,43.84,empty,self employed,lehigh university college of business,0
500,5.0,Non-profit Organization Management,editor,25.67,Master,tinuiti,harvard university,0
500,5.0,Advertising Services,creative,10.84,Master,area 23,miami ad school,0
500,3.0,Investment Banking,investment banking,3.75,Master,liontree,the university of western australia,0
500,5.0,Retail,style,26.33,empty,american dream,fashion institute of design merchandising,0
500,2.0,Architecture & Planning,architecture,9.34,Master,metropolitan transportation authority,new england institute of technology,0
500,7.0,Renewable Energy Semiconductor Manufacturing,officer,32.07,Master,east energy renewables,duke university,0
500,2.0,Financial Services,investment,0.25,Master,yinhua fund management,美国哥伦比亚大学,0
472,6.0,Financial Services,equity,18.17,MBA,dbrs,yale university yale school of management,0
500,5.0,Marketing & Advertising,promotions,6.66,empty,tiktok,southern methodist university,0
500,6.0,Pharmaceutical Manufacturing,business analytics,29.08,MBA,regeneron pharmaceuticals inc,coursera,0
500,3.0,Computer Software,business analyst,7.75,empty,barclays,sggs nanded,0
500,5.0,Investment Management,non,36.41,MBA,general atlantic,columbia business school,0
500,5.0,Pharmaceutical Manufacturing,teacher,42.08,Master,private company,lynn university,0
500,4.0,Pharmaceuticals,project analyst,8.16,Master,bristol myers squibb,rutgers school of graduate studies,0
500,4.0,Spectator Sports,strategist,7.59,Master,universidad alfonso x el sabio,isde,0
500,2.0,Public Policy Offices,public affairs,12.41,Master,jacobs,columbia sipa,0
500,5.0,Government Administration,social,19.66,Master,united way of new york city,new york university,0
394,2.0,Research,research scientist,14.33,Master,nyu langone health,medical school national and kapodistrian university of athens,0
500,4.0,Financial Services,talent acquisition,27.26,empty,bridgenext,queensborough community college of the city university of new york cuny,0
500,2.0,Accounting,bookkeeper,10.92,Master,airbnb,fairleigh dickinson university,0
500,7.0,Investment Management,investment,22.0,MBA,treasury partners,nyu stern school of business,0
373,5.0,Capital Markets,investment banking,5.92,MBA,jefferies llc,columbia business school,0
423,4.0,Advertising Services,marketing coordinator,5.41,MBA,kiss products inc,hofstra university,0
478,3.0,Computer Software,user researcher,9.49,Master,accenture song,harvard university graduate school of design,0
500,1.0,Writing and Editing,editor,27.16,Master,business insurance,ucl,0
500,5.0,Design Services,design consultant,13.08,Master,amaffi,pratt institute,0
500,5.0,Entertainment Providers,strategist,39.5,empty,exp realty,suny empire state college,0
500,7.0,Telecommunications,network engineer,14.42,MBA,optimum,australian institute of business,0
500,5.0,Non-profit Organization Management,social,29.08,Master,unicef,the american university in cairo,0
500,6.0,Book and Periodical Publishing,strategist,27.17,MBA,chip changing how individuals prosper,regis university,0
500,2.0,Hospital & Health Care,physician,4.17,Master,becoming behavioral health,liu brooklyn,0
500,5.0,Commercial Real Estate,investments,22.41,Master,bones investment group,university of tennessee knoxville,0
500,3.0,Hospitals and Health Care,telemarketing,3.09,MBA,axletree solutions,california state university east bay,0
500,3.0,Oil & Energy,research engineer,15.84,Master,self employed,boston university,0
401,2.0,Sports,event coordinator,10.0,Master,wollman rink nyc,nyu school of professional studies,0
500,4.0,Retail Apparel and Fashion,social media,17.49,Master,kcd,florida state university,0
500,2.0,Spectator Sports,public affairs,9.91,Master,united nations,king s college london,0
500,4.0,Telecommunications,creative,27.08,Master,consiglieri,university of central florida,0
401,1.0,Research,clinical research,11.08,Master,new jersey medical reserve corps,st xavier s college university of mumbai,0
420,2.0,Hospitality,cook,17.92,Associate,madison square garden entertainment corp,the culinary institute of america,0
445,5.0,Public Relations and Communications Services,media relations,13.33,Master,hunter,new york university,0
385,4.0,Research Services,scientist,12.07,Master,merck,polytechnic institute of new york university,0
500,5.0,Biotechnology,business strategy,11.08,Master,zoomrx,indian institute of management calcutta,0
500,4.0,Consumer Services,real estate broker,10.17,MBA,usl capital,palm beach atlantic university,0
500,1.0,Non-profit Organization Management,teaching,17.91,Master,copay inc community organization for parents and youth,hofstra university,0
500,5.0,Information Technology & Services,consulting,24.08,Master,infosys,stanford university graduate school of business,0
500,2.0,Financial Services,quantitative analyst,8.58,Master,capula investment management llp,mit sloan school of management,0
458,3.0,Media Production,producer,8.68,empty,viacom,connecticut college,0
395,1.0,Mining,supply chain coordinator,15.67,Master,berlin packaging,lycee des glieres annemasse france,0
500,2.0,Higher Education,book seller,7.16,MBA,shiseido,rutgers university,0
500,5.0,Financial Services,investment analyst,12.5,MBA,boston consulting group bcg,nyu stern school of business,0
500,3.0,Marketing & Advertising,digital marketing,18.99,empty,dr kirchner consulting,columbia university,0
500,4.0,Business Consulting and Services,project consultant,7.75,Master,deloitte,university of nottingham,0
433,1.0,Law Practice,teacher,3.67,empty,rutgers university new brunswick,bordentown regional high school,0
500,5.0,Photography,video editor,11.43,Master,spectrum news,cuny graduate school of journalism,0
500,2.0,Banking,database administrator,2.67,Master,citi,america bangladesh university,0
500,1.0,Architecture & Planning,professor,12.01,Master,seoul national university of science and technology,harvard university graduate school of design,0
500,4.0,Human Resources,talent,9.08,Master,spencer stuart,columbia university,0
500,6.0,Software Development,ios developer,10.91,Master,grist labs,harvard university,0
500,6.0,Management Consulting,strategist,28.0,MBA,tertulia,columbia university,0
500,6.0,Design Services,ux ui designer,17.67,Master,partnerise,new york university,0
500,4.0,Fundraising,ambassador,19.67,Master,united hatzalah of israel,jewish theological seminary of america,0
500,3.0,Hospitality,sales administrator,19.33,Associate,breads bakery,mercer county community college,0
500,6.0,Information Technology & Services,talent development,26.0,Master,huron,american university,0
500,6.0,Mental Health Care,ambassador,40.25,MBA,awaken joy,southern connecticut state university,0
500,6.0,IT Services and IT Consulting,systems architect,42.41,empty,various,brown university,0
500,4.0,Marketing & Advertising,marketing,3.74,Master,at t,new york university,0
500,3.0,Computer Software,software engineering,8.58,Master,ibm,georgia institute of technology,0
500,1.0,Government Administration,substitute teacher,14.01,Master,vital strategies,suny geneseo,0
500,4.0,Professional Training & Coaching,ambassador,42.75,MBA,innovation women,montclair state university,0
500,2.0,Media Production,artist,8.59,Master,de productions,yale university,0
373,1.0,Publishing,writer,3.33,Master,penguin random house,pace university,0
500,5.0,Information Technology & Services,software architect,11.41,Master,ibm,university of new haven,0
500,6.0,Advertising Services,marketing analyst,37.09,MBA,mars,lehigh university,0
500,5.0,Broadcast Media Production and Distribution,sales analyst,10.5,empty,westwood one,providence college,0
500,7.0,Financial Services,strategy business development,17.41,MBA,brigit,columbia business school,0
500,3.0,Marketing & Advertising,social media marketing,22.64,empty,tiktok,s i newhouse school of public communications at syracuse university,0
500,2.0,Non-profit Organization Management,network administrator,16.58,Associate,veg er for pets,universidad manuela beltrán,0
500,6.0,Online Audio and Video Media,creative,20.84,Master,united nations,school of the art institute of chicago,0
500,5.0,Computer Software,strategy consultant,9.16,MBA,uber,the wharton school,0
500,6.0,Advertising Services,media relations,7.16,Master,ddb,the george washington university,0
500,5.0,International Trade and Development,social,24.01,Master,every mother counts,harvard university graduate school of education,0
500,2.0,Oil & Energy,bartender,16.33,MBA,bp,manhattan college,0
500,6.0,Financial Services,research analyst,23.16,Master,aca group,the george washington university,0
500,1.0,Book and Periodical Publishing,reporter,17.0,Master,various publications,columbia university graduate school of journalism,0
475,4.0,Computer & Network Security,counselor,11.08,Master,sumitomo mitsui banking corporation,the city college of new york,0
500,6.0,Consumer Services,marketing coordinator,15.99,empty,ground up international,brooklyn technical high school,0
500,7.0,Advertising Services,creative,37.33,empty,code and theory,aish hatorah,0
500,6.0,Software Development,strategist,21.91,MBA,wingmen ventures,northwestern university kellogg school of management,0
500,5.0,Mental Health Care,teacher,20.97,Master,talkspace,tufts university school of medicine,0
500,5.0,Information Technology & Services,ambassador,2.17,Master,arbolus,university of glasgow,0
500,6.0,Computer Software,data architect,21.5,Master,microsoft,university of pune k k wagh coe,0
500,2.0,Financial Services,promoter,9.5,empty,commcise,hobart and william smith colleges,0
500,1.0,Primary/Secondary Education,teacher,15.4,Master,bold charter school,hunter college,0
500,4.0,Newspapers,journalist,10.41,Master,amazon,columbia university in the city of new york,0
500,5.0,Utilities,researcher,6.25,Master,energy and environmental economics inc,eth zürich,0
500,2.0,Online Audio and Video Media,content creator,6.91,Master,bronx film 48,manhattan college,0
465,2.0,Accounting,tax preparer,9.25,Master,schonfeld,baruch college,0
500,5.0,Financial Services,financial analysis,7.92,Master,kenvue,rutgers business school,0
500,1.0,Primary/Secondary Education,teacher,5.08,Master,heritage middle school,teachers college columbia university,0
500,6.0,Oil and Gas,sales business development,34.75,MBA,catalyst strategic advisors,albertus magnus college,0
500,3.0,Computer Software,product,15.75,empty,deloitte digital,baruch college,0
500,1.0,Writing & Editing,teacher,15.72,Master,manhattanville university,manhattanville university,0
500,1.0,Financial Services,research analyst,1.33,Master,the bank of east asia limited bea,nyu tandon school of engineering,0
500,2.0,Architecture & Planning,teaching,9.83,Master,cuny new york city college of technology,university of michigan,0
426,1.0,"Health, Wellness & Fitness",event,13.57,Master,glow recipe,the george washington university,0
500,5.0,Environmental Services,writer,23.0,Master,grec sud,columbia university in the city of new york,0
500,3.0,International Trade & Development,social,4.33,Master,action against hunger usa,the london school of economics and political science lse,0
500,6.0,Pharmaceutical Manufacturing,medical,26.42,empty,emblem corp toronto,bishop s university,0
500,6.0,Non-profit Organization Management,research,8.24,MBA,givedirectly,yale school of management,0
