numconnections,seniority,currentindustry,mapped_role,total_experience_years,highest_degree,company_cleaned,campus_cleaned,cluster_id
500,4.0,Management Consulting,financial consultant,9.25,Bachelor,protiviti,st john s university,1
500,6.0,Law Practice,attorney,11.25,Doctor,slager madry llc,the university of connecticut school of law,3
500,3.0,Media Production,writer,9.67,Master,muslim network tv,rutgers university,0
500,5.0,Marketing & Advertising,editor,6.25,Bachelor,rumpapi,the university of the west indies cave hill campus,1
500,5.0,Food & Beverages,marketing,17.0,MBA,diageo,minimba,0
289,5.0,Civil Engineering,communications,12.0,Master,gilsanz murray steficek,pratt institute,2
500,4.0,Software Development,technical product,45.0,Master,actian,esig strasbourg,3
500,3.0,Management Consulting,financial analyst,10.92,empty,uber,university of michigan,0
500,4.0,Management Consulting,portfolio analyst,7.0,Bachelor,kpmg us,northeastern university,1
164,1.0,Retail,retail sales,9.67,empty,christian dior couture,los angeles trade technical college,2
500,4.0,Financial Services,strategy analyst,4.33,Bachelor,akamai technologies,boston university questrom school of business,1
500,4.0,Renewable Energy Semiconductor Manufacturing,innovation,18.58,Doctor,amplo global inc,uncc learn,3
346,6.0,Financial Services,business developer,24.58,MBA,the greensledge group llc,nyu stern school of business,2
474,1.0,Public Relations and Communications Services,sales customer service,4.16,Bachelor,halsbrook inc,drexel university,1
242,4.0,Market Research,marketing consultant,11.75,Master,ipsos,new york university,2
500,3.0,Aviation & Aerospace,solutions engineer,19.83,Master,gulfstream aerospace,georgia institute of technology,0
500,2.0,Research Services,quantitative analyst,9.92,Doctor,point72,columbia university,3
173,1.0,Higher Education,crew,5.09,Master,dickinson college,drexel university s college of nursing and health professions,2
500,4.0,Law Practice,law,7.09,Doctor,sullivan cromwell llp,mcgill university faculty of law,3
421,1.0,Research,teaching,3.5,Bachelor,weill cornell medicine,university of chicago,1
500,1.0,Business Consulting and Services,user researcher,7.49,Bachelor,seattle cancer care alliance,brown university,1
500,4.0,Financial Services,law,6.51,Bachelor,thermo fisher scientific,university of north carolina at chapel hill,1
314,2.0,Renewable Energy Semiconductor Manufacturing,nurse,20.49,Master,nyu langone health,western governors university,2
281,4.0,Research,investment analyst,2.67,Master,unicef,shanghai university of finance and economics,2
500,4.0,Law Practice,attorney,31.76,Doctor,meta,st john s university school of law,3
500,4.0,Public Relations & Communications,communication,7.75,Bachelor,planned parenthood federation of america,hofstra university,1
500,2.0,Investment Banking,investment banking analyst,10.06,Bachelor,evercore,binghamton university school of management,1
359,7.0,Investment Management,financial officer,26.1,Bachelor,dws group,new york university,1
500,6.0,Financial Services,technology architect,28.91,Master,wells fargo,harvard business school executive education,0
500,4.0,Civil Engineering,professor,12.74,Doctor,southeast university,columbia university in the city of new york,3
500,4.0,"Movies, Videos and Sound",producer,12.92,Master,suvanova,victoria university of wellington,0
500,5.0,Advertising Services,creative,12.83,Bachelor,work co,university of pittsburgh,1
500,2.0,Software Development,software engineering,5.59,Bachelor,jane street,princeton university,1
412,5.0,Research,research analyst,12.92,Master,ninedot energy,johns hopkins university,2
500,5.0,Banking,consulting,28.26,Bachelor,further advisory,america s community bankers national school of banking,1
500,4.0,Information Technology & Services,business development consultant,25.91,Bachelor,courier health,emory university,1
196,1.0,Photography,photographer,16.52,High School,amy o,agtu,2
500,7.0,Computer Software,loan officer,41.66,Bachelor,maverick lending solutions llc,wake forest university,1
500,3.0,Wholesale,product analyst,6.34,Bachelor,bj s wholesale club,city tech cuny,1
336,4.0,Pharmaceuticals,research scientist,13.99,Doctor,merck,university of michigan,2
177,2.0,Architecture & Planning,architecture,5.5,Master,dottinger design inc,stevens institute of technology,2
500,3.0,Investment Banking,equity analyst,7.75,Bachelor,j p morgan,university of leeds,1
495,2.0,Real Estate,analyst,0.58,Bachelor,legends equity group,rutgers business school,1
500,2.0,Financial Services,equity analyst,9.74,Bachelor,td securities,babson college,1
313,2.0,Higher Education,professor,31.32,Doctor,john jay college cuny,drexel university,2
500,3.0,Information Technology & Services,contributor,4.41,Bachelor,nielseniq,rutgers university new brunswick,1
500,4.0,Broadcast Media Production and Distribution,producer,19.16,Doctor,pbs news hour,university of arizona,3
500,5.0,Civic & Social Organization,creative,11.66,Master,lmt,imt atlantique,0
500,6.0,Veterinary,medical science liaison,29.25,Master,zoetis,university of notre dame mendoza college of business,0
500,4.0,Accounting,audit,8.16,Bachelor,loews hotels co,rutgers business school,1
500,4.0,Executive Offices,marketing operations,17.57,Bachelor,persona,ucla,1
500,5.0,Accounting,audit,2.0,Master,alixpartners llp,villanova university,0
263,2.0,Book and Periodical Publishing,instructional designer,37.0,Master,mcgraw hill education,new york university,2
485,2.0,Architecture and Planning,design consultant,5.0,Bachelor,ramsa robert a m stern architects,the cooper union for the advancement of science and art,1
500,5.0,Advertising Services,marketing communications,26.08,empty,williams syndrome association,texas christian university,0
500,6.0,Hospital & Health Care,clinical,35.75,MBA,northwell health,university of new haven,0
500,2.0,Accounting,audit,9.0,Bachelor,stonepeak,high point university,1
500,7.0,Computer Software,business developer,7.33,Master,precoro,kyiv national economics university,0
500,6.0,Environmental Services,directors,40.91,Master,acgih american conference of governmental industrial hygienists,columbia university mailman school of public health,3
182,1.0,Apparel & Fashion,model,20.22,High School,nardos design,the university of georgia,2
500,5.0,Advertising Services,creative,13.57,Bachelor,biplane media,american university,1
500,6.0,Law Practice,attorney,9.99,Doctor,latham watkins,brooklyn law school,3
203,3.0,Computer Software,software programmer,8.67,Bachelor,sony music entertainment,new york university,2
425,1.0,Non-profit Organization Management,front receptionist,10.16,Doctor,weill cornell imaging at newyork presbyterian,rutgers new jersey medical school,3
500,5.0,Management Consulting,civil engineer,11.08,Master,deloitte,university at buffalo,0
500,5.0,Advertising Services,advertising,22.92,Bachelor,matte projects,university of california berkeley,1
500,6.0,IT Services and IT Consulting,innovation,47.09,Master,highercred,wellesley college,0
196,1.0,Media Production,video editor,6.16,Bachelor,anomaly entertainment,nyu tandon school of engineering,2
386,1.0,Information Technology & Services,teaching,15.41,Doctor,barnard college,the graduate center city university of new york,3
500,4.0,Apparel & Fashion,marketing officer,13.83,MBA,chief,nyu stern school of business,0
309,5.0,Financial Services,credit risk,16.08,Bachelor,citi,baruch college,2
312,3.0,Financial Services,nanny,15.17,empty,farragut square group,manhattan college,2
500,4.0,Apparel & Fashion,creative,3.75,Bachelor,grace chen couture,parsons school of design the new school,1
281,3.0,Truck Transportation,logistics,13.92,empty,lufthansa technik component services,university of applied sciences kaiserslautern,2
500,2.0,Financial Services,analyst,21.24,Doctor,blue owl healthcare opportunities,purdue university outstanding graduate student award recipient the arnold kent balls award,3
500,5.0,Pharmaceuticals,systems engineering,10.66,Doctor,pfizer,arizona state university,3
500,3.0,Law Practice,counsel,14.91,Doctor,justworks,university of pennsylvania,3
277,1.0,Architecture & Planning,education,3.66,Master,atlantic council,columbia university in the city of new york,2
500,2.0,Hospital & Health Care,research,7.66,Master,columbia university irving medical center,boston university school of medicine,0
500,3.0,Advertising Services,pharmaceutical sales representative,7.01,MBA,parachute health,durham university,0
500,4.0,Management Consulting,economist,11.75,Doctor,icon wirtschaftstreuhand gmbh,new york university school of law,3
500,2.0,Architecture & Planning,teaching,2.67,High School,armour unsderfer engineering inc p s,princeton university,1
500,7.0,Information Technology & Services,directors,5.92,Bachelor,green quotient solutions,the college of new jersey,1
500,4.0,Non-profit Organization Management,creative,3.25,Master,healthcare businesswomen s association,animation mentor,0
500,4.0,Entertainment,creative,16.84,Master,tiktok,university of pennsylvania,0
242,6.0,Hospital & Health Care,benefits,44.42,Bachelor,agma health fund retirement plan,liu post,2
461,2.0,Entertainment,producer,12.66,empty,warner bros discovery,flagler college,0
500,4.0,Computer Software,social media,19.57,Bachelor,salesforce,new york university,1
340,5.0,Banking,accounting,7.09,Bachelor,sumitomo mitsui banking corporation smbc group,queens college,1
500,5.0,Online Audio and Video Media,creative,16.67,Bachelor,resolute digital,berklee college of music,1
500,2.0,Hospital & Health Care,nursing,27.48,Doctor,columbia university irving medical center,columbia university school of nursing,3
500,5.0,Advertising Services,marketing consultant,14.74,MBA,wall street prep,new york university leonard n stern school of business,0
288,2.0,Entertainment,producer,11.5,Bachelor,lamorner bros,northern arizona university,2
500,3.0,Computer Software,marketing communications,14.0,Bachelor,a b creative studio,university of minnesota twin cities,1
500,3.0,Mental Health Care,clinical,18.0,Doctor,teachers college columbia university,columbia university,3
481,5.0,Accounting,tax,16.17,Master,pwc,rutgers business school,0
500,3.0,Online Audio and Video Media,marketing consultant,20.75,Bachelor,pinterest,university of melbourne,1
285,1.0,Advertising Services,underwriting,9.51,Bachelor,arbor realty trust,binghamton university,2
500,5.0,Higher Education,professor,68.99,Doctor,the new school,chatham university,3
353,2.0,Higher Education,professor,3.24,Doctor,john jay college cuny,university of wisconsin madison,2
345,4.0,Apparel & Fashion,promotions,3.58,Bachelor,think royln,general assembly,2
322,2.0,Research Services,secretary,10.57,Master,city of port jervis,the graduate center city university of new york,2
500,5.0,Investment Management,equity,20.49,MBA,securitize,nyu stern school of business,0
500,3.0,Food Production,business analyst,2.5,Bachelor,mckinsey company,the wharton school,1
234,1.0,Food & Beverages,nanny,7.81,Bachelor,aisling irish community center,binghamton university,2
163,2.0,Computer Software,software engineer,2.41,Master,facebook,columbia university,2
500,4.0,Hospital & Health Care,strategic account,33.17,Bachelor,informatica,university of bridgeport,1
202,2.0,Financial Services,software engineering,5.66,Master,robinhood,cornell university,2
500,4.0,Advertising Services,public relations,11.67,Bachelor,nyu langone health,new york university,1
201,5.0,Software Development,consulting engineer,14.77,Master,chubb,coimbatore institute of technology,2
295,2.0,Hospital & Health Care,research scientist,3.83,Master,yale university school of medicine,rajiv gandhi university of health sciences,2
288,2.0,Consumer Goods,secretary,4.91,Master,pt bumi halmahera nusantara,new york university,2
500,4.0,Law Enforcement,security guard,46.41,Master,ocean county prosecutor s office,carlow university,3
190,3.0,Legal Services,attorney,5.5,Doctor,the children s law center,brooklyn law school,2
500,3.0,Sports,teaching,7.33,Bachelor,major league baseball mlb,columbia university in the city of new york,1
200,6.0,Hospitality,architect,9.66,Master,palat restolabs,pratt institute,2
500,3.0,Logistics & Supply Chain,marketing representative,3.58,Bachelor,mrs baking distribution corp,david b falk college of sport human dynamics at syracuse university,1
500,5.0,IT Services and IT Consulting,tax preparer,12.17,Bachelor,fitch ratings,rutgers university,1
245,1.0,Marketing & Advertising,social media,1.92,Bachelor,ogilvy,new york university,2
500,6.0,Hospitals and Health Care,physician,2.83,Bachelor,american anesthesia partners,jacobi medical center,1
500,3.0,Biotechnology,research scientist,15.5,Doctor,proteovant therapeutics,university of kentucky,3
